training/actor/actor_loss,training/actor/bc_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,step
70.80778,0.07330652,0.07292652,-70.074715,70.074715,1.1581604,-23.434538,-71.40202,-146.16983,4.0679703,-3.1017997,102.076904,71.29367,0.08722648,0.08694215,-70.42141,70.42141,3.9818227,-13.939854,-71.65805,-118.615364,0.0020598387718200684,1093.877031803131,380000
71.9686,0.0741413,0.07358457,-71.22719,71.22719,1.0872989,-23.99709,-72.50189,-129.32625,5.415069,-1.8148861,102.43429,69.41433,0.07947882,0.07878313,-68.619545,68.619545,4.1426797,-10.896964,-69.80113,-124.74823,0.0020504423141479494,1104.1292490959167,385000
71.427704,0.0743713,0.07402942,-70.68399,70.68399,1.0285796,-2.6590407,-71.995,-133.89713,1.6905677,-6.950951,96.3389,69.88908,0.07585305,0.07553794,-69.13055,69.13055,4.8927746,-7.426928,-70.25929,-125.47261,0.002097608804702759,1114.6173005104065,390000
71.07238,0.066187754,0.06580173,-70.4105,70.4105,0.95608824,-15.228859,-71.57645,-134.79301,3.271226,-3.2923121,84.55026,68.12588,0.0729813,0.07261024,-67.396065,67.396065,4.045561,-21.946451,-68.45772,-117.418915,0.002044316101074219,1124.8388862609863,395000
71.44756,0.06885282,0.06849066,-70.75903,70.75903,1.2877128,-18.121325,-71.99357,-130.9556,1.4342482,-2.765535,69.89622,68.43027,0.071424894,0.071079664,-67.71602,67.71602,3.981419,-10.624603,-68.83892,-122.736855,0.0020452142238616944,1135.0649631023407,400000
67.26541,0.06939321,0.06906818,-66.57148,66.57148,1.5170066,-4.087999,-67.78328,-131.62428,1.2400273,-2.2786076,62.84958,65.676445,0.076929726,0.076999344,-64.90715,64.90715,3.1493049,-10.487848,-66.06839,-133.3326,0.016390497016906737,1217.0174539089203,405000
67.84938,0.07127499,0.07122031,-67.13663,67.13663,0.97841936,-19.391665,-68.395584,-138.74695,2.0010786,-1.0637084,47.530914,65.6853,0.08140505,0.08109025,-64.871254,64.871254,3.1499324,-11.957998,-66.030426,-117.32187,0.0020939001083374025,1227.486959695816,410000
70.06953,0.07236377,0.072204925,-69.34589,69.34589,0.9516238,-15.694439,-70.62485,-161.87093,3.8911273,-3.529601,95.86234,65.830986,0.084476344,0.0848962,-64.98622,64.98622,3.0158753,-2.2420022,-66.140495,-113.89699,0.0020799320220947267,1237.8866262435913,415000
68.34552,0.068510525,0.0681823,-67.660416,67.660416,1.2631588,-8.594054,-68.88002,-143.87859,6.3324194,-2.5055625,86.51875,68.863495,0.07625624,0.07597212,-68.10093,68.10093,4.6525216,-25.389172,-69.15083,-118.41787,0.002122312545776367,1248.4981949329376,420000
66.83408,0.07045856,0.07027064,-66.1295,66.1295,0.98430014,-17.765955,-67.36807,-168.13167,1.2655878,-2.858459,66.51861,66.72382,0.080890946,0.08120658,-65.91492,65.91492,3.1835794,-15.293214,-67.06174,-120.29684,0.002084317684173584,1258.91978931427,425000
66.938225,0.07412415,0.0740784,-66.19698,66.19698,1.0888416,-15.668376,-67.525635,-141.78867,2.5852308,-1.3274939,64.98947,67.665665,0.074063405,0.073032096,-66.92503,66.92503,3.4350567,-18.996399,-68.14453,-131.85455,0.002098156261444092,1269.4105777740479,430000
70.65905,0.068865076,0.06868833,-69.9704,69.9704,0.940943,-23.1386,-71.168335,-152.92952,2.7164087,-1.2593949,58.93862,70.818794,0.07275032,0.07174676,-70.09129,70.09129,3.4168015,-22.660255,-71.18556,-126.12098,0.0020713903427124025,1279.767535686493,435000
70.79752,0.06902589,0.06918406,-70.10726,70.10726,1.9134538,-12.2591305,-71.347176,-168.35553,6.2148914,-3.8872113,126.038765,69.80362,0.08551737,0.0843289,-68.94845,68.94845,4.1532044,-22.501926,-70.200935,-126.22544,0.0020528432846069334,1290.0317583084106,440000
72.96175,0.065306365,0.06509794,-72.308685,72.308685,0.83981514,-12.436364,-73.43046,-165.39137,1.5215387,-3.6243138,69.42562,71.51842,0.075867765,0.07548431,-70.75974,70.75974,4.6743526,-18.856434,-71.85181,-124.385025,0.0020881999492645266,1300.4727637767792,445000
70.2025,0.072209515,0.07204189,-69.48041,69.48041,1.0535223,-18.492416,-70.75462,-133.815,1.4909805,-1.3677762,57.139637,69.64592,0.06649806,0.065469205,-68.98094,68.98094,4.0455112,-20.320381,-70.093124,-123.67107,0.0020601584434509278,1310.7735619544983,450000
70.87633,0.06314719,0.0631243,-70.24486,70.24486,1.1420708,-26.67588,-71.34366,-158.10934,2.981643,-3.030472,67.35751,70.322044,0.07104982,0.07086225,-69.61155,69.61155,4.5957947,-24.33805,-70.600586,-159.82295,0.002083292484283447,1321.1900308132172,455000
73.93913,0.060876466,0.060702797,-73.33037,73.33037,1.1555748,-2.5805457,-74.38747,-171.48029,2.4427598,-3.2986982,70.0273,72.424446,0.07090071,0.0705032,-71.71544,71.71544,6.7065372,-32.775425,-72.79661,-154.85114,0.0021048569202423094,1331.714320898056,460000
72.086685,0.06954311,0.06949425,-71.39125,71.39125,0.92511904,-6.859277,-72.60055,-177.03922,4.0004125,-4.451229,101.18365,70.82084,0.07519003,0.074672215,-70.06894,70.06894,5.4504547,-9.286592,-71.17813,-140.39513,0.0020942290782928466,1342.1854717731476,465000
